epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
32,1955.84,0.26881,0.18186,0.31311,0.80145,0.999,1,0.995,0.98217,0.999,1,0.995,0.99115,0.2052,0.13494,0.30787,0.76765,0.0007724,0.0007724,0.0007724
33,2015.92,0.25048,0.17065,0.3022,0.80885,0.99892,1,0.995,0.98735,0.99892,1,0.995,0.99257,0.194,0.13372,0.30218,0.76466,0.0007328,0.0007328,0.0007328
34,2075.21,0.26341,0.16998,0.3186,0.80318,0.99895,1,0.995,0.9882,0.99895,1,0.995,0.98868,0.18946,0.14054,0.29951,0.76407,0.0006932,0.0006932,0.0006932
35,2134.14,0.25759,0.16922,0.3079,0.81506,0.99902,1,0.995,0.98823,0.99902,1,0.995,0.98947,0.18615,0.13554,0.28363,0.76477,0.0006536,0.0006536,0.0006536
36,2193.05,0.24957,0.15168,0.30299,0.82237,0.99911,1,0.995,0.98999,0.99911,1,0.995,0.98727,0.17649,0.12837,0.29497,0.76101,0.000614,0.000614,0.000614
37,2251.62,0.25357,0.18824,0.30317,0.81845,0.99902,1,0.995,0.97572,0.99902,1,0.995,0.99049,0.19785,0.1421,0.28593,0.76445,0.0005744,0.0005744,0.0005744
38,2310.01,0.24756,0.19232,0.29059,0.8158,0.99911,1,0.995,0.99074,0.99911,1,0.995,0.99386,0.16815,0.1346,0.2673,0.76233,0.0005348,0.0005348,0.0005348
39,2367.88,0.24583,0.19213,0.28149,0.80955,0.99907,1,0.995,0.99084,0.99907,1,0.995,0.99318,0.17305,0.13538,0.26551,0.7627,0.0004952,0.0004952,0.0004952
40,2425.8,0.23399,0.17359,0.27937,0.79945,0.99895,1,0.995,0.99039,0.99895,1,0.995,0.98646,0.17796,0.12693,0.26156,0.76476,0.0004556,0.0004556,0.0004556
41,2483.07,0.19382,0.13923,0.27833,0.80373,0.99904,1,0.995,0.99177,0.99904,1,0.995,0.98881,0.16589,0.12627,0.2833,0.7611,0.000416,0.000416,0.000416
42,2539.91,0.19656,0.13889,0.28605,0.78146,0.99906,1,0.995,0.99399,0.99906,1,0.995,0.98765,0.16219,0.12458,0.26351,0.76116,0.0003764,0.0003764,0.0003764
43,2597.1,0.187,0.13171,0.26286,0.7895,0.99912,1,0.995,0.99395,0.99912,1,0.995,0.98434,0.16334,0.12598,0.26461,0.75935,0.0003368,0.0003368,0.0003368
44,2654.25,0.17258,0.13304,0.25766,0.77884,0.99908,1,0.995,0.995,0.99908,1,0.995,0.98599,0.14945,0.12267,0.24704,0.76007,0.0002972,0.0002972,0.0002972
45,2711.41,0.15929,0.13292,0.24488,0.77383,0.99911,1,0.995,0.995,0.99911,1,0.995,0.98812,0.14407,0.12265,0.24211,0.75992,0.0002576,0.0002576,0.0002576
46,2768.48,0.1521,0.13371,0.23672,0.76459,0.99912,1,0.995,0.995,0.99912,1,0.995,0.98897,0.12883,0.1239,0.22586,0.7567,0.000218,0.000218,0.000218
47,2825.4,0.15306,0.13098,0.23243,0.77657,0.99915,1,0.995,0.995,0.99915,1,0.995,0.98626,0.12701,0.12696,0.22252,0.75581,0.0001784,0.0001784,0.0001784
48,2883.31,0.15154,0.14476,0.23351,0.76222,0.99912,1,0.995,0.995,0.99912,1,0.995,0.98864,0.12901,0.12314,0.22669,0.75443,0.0001388,0.0001388,0.0001388
49,2940.47,0.14838,0.13471,0.2302,0.77186,0.99913,1,0.995,0.995,0.99913,1,0.995,0.98881,0.12387,0.12198,0.21999,0.75425,9.92e-05,9.92e-05,9.92e-05
50,2998.63,0.13486,0.12556,0.22158,0.76966,0.99913,1,0.995,0.995,0.99913,1,0.995,0.98895,0.11728,0.1216,0.21544,0.75378,5.96e-05,5.96e-05,5.96e-05
