epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,2057.47,0.79064,1.12564,0.86033,1.13312,0.57804,0.52926,0.50368,0.38334,0.57588,0.66827,0.58271,0.36893,1.2009,2.28501,1.89545,1.7499,0.0011884,0.0011884,0.0011884
31,2144.13,0.75802,1.0744,0.7982,1.11827,0.65464,0.49096,0.61049,0.46353,0.6401,0.575,0.60845,0.44077,1.11448,2.42183,1.4752,1.6997,0.0011719,0.0011719,0.0011719
32,2232.23,0.74928,1.1269,0.81639,1.10137,0.76925,0.49375,0.64282,0.44672,0.76925,0.49375,0.63018,0.42411,1.12647,2.5254,1.5814,1.58653,0.0011554,0.0011554,0.0011554
33,2318.5,0.75104,1.16187,0.78236,1.09732,0.69547,0.525,0.58762,0.41339,0.69547,0.525,0.58762,0.38524,1.01117,2.18144,1.66222,1.48782,0.00113889,0.00113889,0.00113889
34,2402.39,0.70929,1.0927,0.74579,1.08566,0.45626,0.52751,0.51651,0.38247,0.45626,0.52751,0.51019,0.36637,1.09053,2.22709,1.56635,1.54149,0.00112239,0.00112239,0.00112239
35,2485.82,0.73783,1.11737,0.80236,1.12364,0.48372,0.50625,0.51601,0.36211,0.48372,0.50625,0.53906,0.3444,1.05818,2.38152,1.76711,1.52546,0.00110589,0.00110589,0.00110589
36,2571.71,0.69142,1.0857,0.69549,1.07809,0.55177,0.60167,0.59725,0.41858,0.58858,0.65103,0.60957,0.42284,1.09943,1.84671,1.39783,1.5269,0.00108938,0.00108938,0.00108938
37,2654.38,0.66635,1.02431,0.71327,1.06869,0.58284,0.575,0.57865,0.40568,0.5511,0.64242,0.57231,0.40394,1.0165,1.96947,1.51904,1.47337,0.00107288,0.00107288,0.00107288
38,2737.73,0.66855,1.00911,0.68183,1.07151,0.55507,0.60228,0.57032,0.39049,0.55507,0.60228,0.54962,0.36015,1.11599,2.10292,1.65547,1.61499,0.00105638,0.00105638,0.00105638
39,2824.54,0.69309,0.98271,0.66482,1.05923,0.72619,0.65195,0.67094,0.50431,0.72619,0.65195,0.66287,0.46666,1.03871,2.05486,1.47542,1.5025,0.00103987,0.00103987,0.00103987
40,2909.28,0.71239,1.04092,0.74534,1.09143,0.61575,0.63125,0.54475,0.40304,0.59222,0.58125,0.52522,0.37749,1.15071,1.81073,1.53012,1.51412,0.00102337,0.00102337,0.00102337
41,2993.56,0.67324,0.95499,0.71096,1.06702,0.67483,0.75,0.59238,0.38885,0.65272,0.7,0.53522,0.36572,1.11737,2.02885,2.07228,1.56888,0.00100687,0.00100687,0.00100687
42,3078.3,0.67485,1.03321,0.66036,1.05438,0.67388,0.56875,0.62993,0.42641,0.67388,0.56875,0.63225,0.40542,1.19624,2.03437,1.68649,1.65426,0.000990365,0.000990365,0.000990365
43,3162.16,0.67106,1.02278,0.66277,1.06203,0.59705,0.6125,0.59444,0.4211,0.59705,0.6125,0.59045,0.42292,1.09687,2.26911,1.40697,1.62842,0.000973861,0.000973861,0.000973861
44,3245.55,0.64273,0.99577,0.64822,1.06487,0.75315,0.6367,0.66382,0.46413,0.75315,0.6367,0.66382,0.44384,1.08557,2.52026,1.27564,1.59197,0.000957358,0.000957358,0.000957358
45,3329.14,0.63566,0.99015,0.62672,1.05101,0.55531,0.75555,0.6253,0.41765,0.55185,0.78102,0.62848,0.38852,1.25334,2.18373,1.30521,1.79362,0.000940855,0.000940855,0.000940855
46,3412.95,0.6332,0.94446,0.60933,1.05121,0.7089,0.59375,0.68948,0.49768,0.65639,0.7485,0.71271,0.48825,1.06439,2.13316,1.14156,1.61595,0.000924352,0.000924352,0.000924352
47,3484.55,0.65011,0.96789,0.61328,1.04997,0.87981,0.51337,0.67573,0.4806,0.89622,0.56875,0.71988,0.45474,1.27503,2.67555,1.41706,1.78962,0.000907848,0.000907848,0.000907848
48,3550.98,0.64144,0.95124,0.64092,1.05618,0.77265,0.58364,0.69055,0.48143,0.61929,0.58751,0.611,0.45309,1.07597,2.40988,1.70138,1.55827,0.000891345,0.000891345,0.000891345
49,3635.82,0.62839,0.93632,0.58202,1.04753,0.75251,0.63632,0.69195,0.51598,0.71357,0.5907,0.64757,0.47256,1.01682,2.6727,1.24389,1.57519,0.000874842,0.000874842,0.000874842
50,3720.47,0.64942,0.9228,0.59507,1.05146,0.57323,0.86669,0.725,0.53494,0.57323,0.86669,0.725,0.55147,1.01086,2.05866,1.16847,1.57241,0.000858338,0.000858338,0.000858338
51,3805.12,0.64579,0.94389,0.60923,1.07246,0.59075,0.68911,0.58673,0.48501,0.59075,0.68911,0.58673,0.45948,0.93985,2.12131,1.21898,1.48967,0.000841835,0.000841835,0.000841835
52,3888.78,0.59106,0.88058,0.54584,1.0447,0.677,0.72882,0.6963,0.575,0.677,0.72882,0.70505,0.54224,0.90564,2.24684,1.06235,1.439,0.000825332,0.000825332,0.000825332
53,3973.6,0.57035,0.86093,0.5377,1.01567,0.66556,0.65625,0.68212,0.49058,0.66556,0.65625,0.68235,0.51184,1.14691,1.97808,1.19208,1.67742,0.000808828,0.000808828,0.000808828
54,4058.4,0.59778,0.89331,0.57011,1.02976,0.59399,0.59375,0.54869,0.43109,0.7261,0.57414,0.59443,0.41812,1.08893,2.19547,1.40357,1.55591,0.000792325,0.000792325,0.000792325
55,4141.78,0.55513,0.87099,0.54592,1.01508,0.84821,0.49189,0.63009,0.49347,0.84821,0.49189,0.62699,0.47284,1.00673,2.2824,1.11533,1.50177,0.000775822,0.000775822,0.000775822
56,4225.27,0.56849,0.90566,0.54845,1.01638,0.62432,0.5125,0.5496,0.44308,0.67993,0.5625,0.61108,0.43704,0.99355,1.86682,1.36512,1.49749,0.000759318,0.000759318,0.000759318
57,4308.22,0.60904,0.88681,0.59592,1.04299,0.5592,0.65625,0.63728,0.46135,0.5592,0.65625,0.63817,0.49608,1.00613,1.94698,1.34807,1.48732,0.000742815,0.000742815,0.000742815
58,4391.27,0.6236,0.87507,0.54494,1.06299,0.73815,0.48794,0.6206,0.45034,0.73815,0.48794,0.61631,0.44665,1.05292,2.26694,1.3635,1.48647,0.000726312,0.000726312,0.000726312
59,4474.43,0.6034,0.93772,0.55258,1.04499,0.72202,0.46407,0.56686,0.40287,0.72202,0.46407,0.56686,0.40273,1.16479,2.11242,1.58268,1.55468,0.000709809,0.000709809,0.000709809
