epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
11,753.57,0.42766,0.25087,0.63828,0.82087,0.99909,1,0.995,0.93559,0.99909,1,0.995,0.95952,0.37709,0.20439,0.75106,0.8016,0.001604,0.001604,0.001604
12,815.595,0.4343,0.23561,0.62734,0.83477,0.99894,1,0.995,0.9228,0.99894,1,0.995,0.97153,0.37026,0.16135,0.7031,0.80351,0.0015644,0.0015644,0.0015644
13,877.924,0.41244,0.18262,0.60323,0.83359,0.99869,1,0.995,0.94191,0.99869,1,0.995,0.97409,0.32054,0.16216,0.65514,0.7869,0.0015248,0.0015248,0.0015248
14,940.535,0.43144,0.21154,0.59207,0.83435,0.99895,1,0.995,0.93614,0.99895,1,0.995,0.97385,0.33546,0.16234,0.57033,0.79196,0.0014852,0.0014852,0.0014852
15,1003.17,0.40739,0.21063,0.52785,0.82958,0.99891,1,0.995,0.94231,0.99891,1,0.995,0.96692,0.3075,0.17068,0.55346,0.78804,0.0014456,0.0014456,0.0014456
16,1065.85,0.38918,0.22491,0.53737,0.8395,0.99901,1,0.995,0.94685,0.99901,1,0.995,0.98597,0.33218,0.15298,0.54815,0.79454,0.001406,0.001406,0.001406
17,1128.43,0.40538,0.23342,0.53284,0.84323,0.99873,1,0.995,0.97695,0.99873,1,0.995,0.96107,0.28662,0.19076,0.55815,0.78575,0.0013664,0.0013664,0.0013664
18,1191,0.41345,0.22354,0.50939,0.82625,0.99902,1,0.995,0.96539,0.99902,1,0.995,0.98037,0.26778,0.16361,0.49472,0.78395,0.0013268,0.0013268,0.0013268
19,1253.36,0.36078,0.22515,0.46943,0.81552,0.99907,1,0.995,0.96878,0.99907,1,0.995,0.97519,0.26753,0.17972,0.46578,0.78193,0.0012872,0.0012872,0.0012872
20,1315.81,0.36542,0.20307,0.45624,0.81614,0.99909,1,0.995,0.97348,0.99909,1,0.995,0.98065,0.27061,0.1544,0.44779,0.78222,0.0012476,0.0012476,0.0012476
21,1378.47,0.3551,0.21047,0.45586,0.80386,0.99905,1,0.995,0.96277,0.99905,1,0.995,0.98304,0.28465,0.16206,0.45288,0.78294,0.001208,0.001208,0.001208
22,1441.27,0.35236,0.1996,0.43642,0.81694,0.99909,1,0.995,0.98069,0.99909,1,0.995,0.98393,0.23287,0.14916,0.38619,0.77725,0.0011684,0.0011684,0.0011684
23,1503.42,0.32404,0.19688,0.41152,0.82486,0.99892,1,0.995,0.96669,0.99892,1,0.995,0.96926,0.25757,0.14823,0.39104,0.78096,0.0011288,0.0011288,0.0011288
24,1565.56,0.33433,0.19185,0.39224,0.82749,0.99911,1,0.995,0.98957,0.99911,1,0.995,0.97479,0.23161,0.15422,0.3767,0.77804,0.0010892,0.0010892,0.0010892
25,1627.94,0.3422,0.20224,0.39097,0.81878,0.9991,1,0.995,0.99077,0.9991,1,0.995,0.97887,0.21926,0.15124,0.3833,0.77544,0.0010496,0.0010496,0.0010496
26,1690.11,0.31669,0.2123,0.36741,0.80414,0.99906,1,0.995,0.98741,0.99906,1,0.995,0.97764,0.21618,0.15431,0.35185,0.77327,0.00101,0.00101,0.00101
27,1752.18,0.31456,0.20638,0.37415,0.80052,0.999,1,0.995,0.98015,0.999,1,0.995,0.9725,0.24086,0.14274,0.36888,0.77578,0.0009704,0.0009704,0.0009704
28,1813.97,0.28757,0.20121,0.34659,0.80165,0.99898,1,0.995,0.99043,0.99898,1,0.995,0.97075,0.19966,0.14154,0.32098,0.77079,0.0009308,0.0009308,0.0009308
29,1875.49,0.27418,0.17743,0.33903,0.79789,0.99907,1,0.995,0.98486,0.99907,1,0.995,0.96628,0.21204,0.15229,0.32731,0.77284,0.0008912,0.0008912,0.0008912
30,1937.06,0.30031,0.18357,0.34988,0.79685,0.99906,1,0.995,0.99025,0.99906,1,0.995,0.97112,0.21846,0.14751,0.34372,0.77032,0.0008516,0.0008516,0.0008516
31,1998.7,0.28955,0.20087,0.33724,0.8058,0.99906,1,0.995,0.98732,0.99906,1,0.995,0.97848,0.19494,0.15545,0.32019,0.7682,0.000812,0.000812,0.000812
32,2060.44,0.28212,0.19751,0.33348,0.80228,0.99911,1,0.995,0.98852,0.99911,1,0.995,0.97376,0.19427,0.13716,0.29735,0.77016,0.0007724,0.0007724,0.0007724
33,2121.84,0.27558,0.1925,0.32392,0.80141,0.99909,1,0.995,0.99169,0.99909,1,0.995,0.96992,0.17362,0.14919,0.32424,0.76891,0.0007328,0.0007328,0.0007328
34,2183.4,0.26704,0.17564,0.32593,0.79904,0.99911,1,0.995,0.99154,0.99911,1,0.995,0.97624,0.18043,0.1383,0.30679,0.7677,0.0006932,0.0006932,0.0006932
35,2245.06,0.24866,0.18387,0.30386,0.80223,0.99913,1,0.995,0.98981,0.99913,1,0.995,0.97421,0.18157,0.1417,0.28768,0.76616,0.0006536,0.0006536,0.0006536
36,2306.8,0.26425,0.18808,0.315,0.81577,0.99913,1,0.995,0.98706,0.99913,1,0.995,0.97703,0.18311,0.14332,0.29192,0.76763,0.000614,0.000614,0.000614
37,2368.95,0.2441,0.15749,0.29542,0.79884,0.99913,1,0.995,0.99192,0.99913,1,0.995,0.97358,0.16349,0.13917,0.26969,0.76478,0.0005744,0.0005744,0.0005744
38,2429.62,0.24468,0.1902,0.29656,0.80693,0.99911,1,0.995,0.99064,0.99911,1,0.995,0.97117,0.18731,0.14723,0.2814,0.76658,0.0005348,0.0005348,0.0005348
39,2495.45,0.25268,0.22303,0.30004,0.79039,0.99907,1,0.995,0.995,0.99907,1,0.995,0.97038,0.15626,0.14076,0.2697,0.76499,0.0004952,0.0004952,0.0004952
40,2562.81,0.22592,0.19532,0.28602,0.79309,0.99913,1,0.995,0.99036,0.99913,1,0.995,0.97824,0.159,0.13545,0.25532,0.76612,0.0004556,0.0004556,0.0004556
41,2629.17,0.17537,0.15851,0.27171,0.796,0.99912,1,0.995,0.995,0.99912,1,0.995,0.96818,0.15106,0.14116,0.24783,0.76497,0.000416,0.000416,0.000416
42,2695.25,0.17614,0.16296,0.27537,0.76408,0.99911,1,0.995,0.9939,0.99911,1,0.995,0.96404,0.14802,0.13013,0.26335,0.76396,0.0003764,0.0003764,0.0003764
43,2761.23,0.17274,0.14143,0.26596,0.77574,0.99911,1,0.995,0.995,0.99911,1,0.995,0.96327,0.15725,0.13423,0.26095,0.76451,0.0003368,0.0003368,0.0003368
44,2827.16,0.16147,0.14924,0.25336,0.77089,0.99911,1,0.995,0.995,0.99911,1,0.995,0.97807,0.13398,0.13151,0.23931,0.76348,0.0002972,0.0002972,0.0002972
45,2894,0.15775,0.14279,0.25008,0.74955,0.99912,1,0.995,0.99339,0.99912,1,0.995,0.96776,0.13534,0.13514,0.24332,0.76384,0.0002576,0.0002576,0.0002576
46,2960.09,0.1506,0.14211,0.24308,0.76043,0.99913,1,0.995,0.995,0.99913,1,0.995,0.97452,0.1309,0.12968,0.23257,0.76274,0.000218,0.000218,0.000218
47,3025.82,0.15482,0.13625,0.24423,0.78296,0.99912,1,0.995,0.995,0.99912,1,0.995,0.97332,0.13343,0.13012,0.23375,0.76211,0.0001784,0.0001784,0.0001784
48,3086.78,0.14688,0.15172,0.23441,0.76582,0.99915,1,0.995,0.995,0.99915,1,0.995,0.97347,0.12624,0.12839,0.22428,0.76191,0.0001388,0.0001388,0.0001388
49,3146.16,0.14321,0.14242,0.2316,0.76847,0.99915,1,0.995,0.995,0.99915,1,0.995,0.97854,0.11877,0.13051,0.21957,0.76091,9.92e-05,9.92e-05,9.92e-05
50,3206.14,0.12847,0.1301,0.22476,0.75974,0.99915,1,0.995,0.995,0.99915,1,0.995,0.97914,0.11749,0.13035,0.21414,0.76062,5.96e-05,5.96e-05,5.96e-05
