epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,66.7661,0.53204,0.47682,2.59802,0.82112,1,0.80093,0.995,0.82154,1,0.80093,0.995,0.92363,0.56487,0.26372,2.99058,0.79368,0.00026,0.00026,0.00026
2,135.329,0.44163,0.33953,1.27527,0.81638,0.00333,1,0.39877,0.28649,0.00333,1,0.46107,0.4141,0.45258,0.28787,3.45459,0.80981,0.000529308,0.000529308,0.000529308
3,204.372,0.44858,0.28057,1.1532,0.83705,0.00333,1,0.00992,0.00753,0.00328,0.98361,0.01648,0.01137,0.39619,0.30976,3.60028,0.82046,0.000787528,0.000787528,0.000787528
4,273.639,0.49624,0.27408,1.10459,0.83002,0.74562,0.76884,0.78315,0.68472,0.79332,0.81802,0.91196,0.87319,0.5034,0.23604,3.22482,0.84959,0.00103466,0.00103466,0.00103466
5,342.599,0.50917,0.26578,0.99777,0.83912,0.90014,0.88662,0.96321,0.83453,0.90014,0.88662,0.96321,0.95608,0.54302,0.24472,2.66559,0.87364,0.0012707,0.0012707,0.0012707
6,411.501,0.49933,0.27208,0.9024,0.83875,0.99299,1,0.995,0.89275,0.99299,1,0.995,0.98415,0.48758,0.19872,1.96132,0.83891,0.00149566,0.00149566,0.00149566
7,480.623,0.47333,0.24868,0.93614,0.84186,0.99584,1,0.995,0.8908,0.99584,1,0.995,0.97219,0.47236,0.2011,1.7141,0.82925,0.00170953,0.00170953,0.00170953
8,549.683,0.50789,0.27245,0.87315,0.85257,0.99916,1,0.995,0.90252,0.99916,1,0.995,0.97905,0.42479,0.19546,0.99604,0.81074,0.0017228,0.0017228,0.0017228
9,618.639,0.43884,0.23273,0.79123,0.83038,0.99913,1,0.995,0.90497,0.99913,1,0.995,0.95718,0.44424,0.28717,0.95968,0.82064,0.0016832,0.0016832,0.0016832
10,687.478,0.44407,0.2352,0.72731,0.82988,0.99899,1,0.995,0.91676,0.99899,1,0.995,0.979,0.39935,0.15764,0.78688,0.8119,0.0016436,0.0016436,0.0016436
